,alphabet,dist
23, ,0.2066294454349254
72,ا,0.10097119264333303
82,ی,0.0637702918269682
157,و,0.056598949047574364
165,ر,0.05576616308529605
123,ه,0.050384723655813084
44,ت,0.049472177911232054
8,د,0.04894904757436427
84,ب,0.047236558130806044
52,ن,0.046328704138125176
74,م,0.043619217415783056
47,ل,0.02726377029182697
42,س,0.024563667073285163
85,ک,0.020829032560758187
117,ش,0.01668856150886741
90,خ,0.01485174063995496
158,ز,0.012824903819086048
93,ف,0.01260439147977855
133,ق,0.012252510087266586
110,ع,0.010274936661349349
107,.,0.009503143473773106
53,ح,0.00791029370366895
50,ي,0.005864689875199399
70,،,0.005791967720746927
130,ص,0.005557380125738951
13,پ,0.005313409026930656
25,گ,0.005196115229426668
159,ج,0.0044993900722529795
132,ط,0.004025523130336868
89,چ,0.0032701510744111853
141,ض,0.0029041944261987427
19,ظ,0.002627381064089331
106,ذ,0.002322417190578962
14,آ,0.0019212724031153234
37,ك,0.0018696631322135686
136,غ,0.0018368208689124518
142,‌,0.0007858684432767195
153,ث,0.0007178380407244065
161,-,0.00044571643051515437
138,!,0.00043398705076475556
66,ئ,0.00042460354696443654
0,۵,0.0003729942760626818
31,ژ,0.00033311438491132587
121,۴,0.0002861968659097307
120,),0.00026039223045885336
45,ى,0.0002510087266585343
35,(,0.00024631697475837477
30,۱,0.00024162522285821526
147,۰,0.00020643708360701887
100,۳,0.0001571736886553439
51,5,0.00015482781270526416
12,:,0.00015248193675518437
125,۲,0.00015248193675518437
28,4,0.00013840668105470584
109,1,0.0001290231772543868
115,0,0.00011963967345406775
5,ً,0.00010791029370366894
86,i,7.741390635263208e-05
99,3,7.506803040255231e-05
15,۹,6.568452660223327e-05
140,2,5.8646898751994e-05
122,١,5.6301022801914235e-05
17,٢,4.9263394951674954e-05
143,_,4.9263394951674954e-05
98,٠,4.69175190015952e-05
149,٥,4.4571643051515436e-05
10,؛,4.222576710143567e-05
9,/,3.987989115135592e-05
78,۸,3.7534015201276154e-05
32,۶,3.51881392511964e-05
18,e,3.51881392511964e-05
75,…,3.51881392511964e-05
54,۷,3.2842263301116636e-05
119,9,2.8150511400957118e-05
113,8,2.8150511400957118e-05
87,¥,2.34587595007976e-05
91,+,2.34587595007976e-05
81,o,2.34587595007976e-05
148,f,2.34587595007976e-05
92,أ,2.34587595007976e-05
43,c,2.34587595007976e-05
68,I,2.1112883550717836e-05
135,٤,2.1112883550717836e-05
126,ؤ,1.8767007600638077e-05
77,؟,1.8767007600638077e-05
96,6,1.8767007600638077e-05
6,s,1.8767007600638077e-05
134,n,1.8767007600638077e-05
29,W,1.6421131650558318e-05
4,٣,1.6421131650558318e-05
55,r,1.4075255700478559e-05
36,t,1.4075255700478559e-05
20,h,1.4075255700478559e-05
118,🏻,1.17293797503988e-05
104,a,1.17293797503988e-05
127,7,1.17293797503988e-05
128,P,1.17293797503988e-05
73,w,1.17293797503988e-05
64,ء,1.17293797503988e-05
60,F,1.17293797503988e-05
58,p,1.17293797503988e-05
48,🌹,1.17293797503988e-05
22,٩,1.17293797503988e-05
145,V,9.383503800319039e-06
150,T,9.383503800319039e-06
112,b,9.383503800319039e-06
154,👍,9.383503800319039e-06
83,k,9.383503800319039e-06
57,🙏,9.383503800319039e-06
80,😳,9.383503800319039e-06
67,v,9.383503800319039e-06
62,٧,9.383503800319039e-06
94,٪,9.383503800319039e-06
108,🌷,7.037627850239279e-06
105,ـ,7.037627850239279e-06
160,C,7.037627850239279e-06
63,d,7.037627850239279e-06
155,ُ,7.037627850239279e-06
146,😂,7.037627850239279e-06
34,x,4.691751900159519e-06
56,😁,4.691751900159519e-06
71,X,4.691751900159519e-06
39,👌,4.691751900159519e-06
156,٨,4.691751900159519e-06
3,S,4.691751900159519e-06
2,R,4.691751900159519e-06
162,=,4.691751900159519e-06
33,ِ,4.691751900159519e-06
137,َ,4.691751900159519e-06
41,🙄,4.691751900159519e-06
79,E,4.691751900159519e-06
116,😅,4.691751900159519e-06
124,O,4.691751900159519e-06
24,l,4.691751900159519e-06
111,إ,2.3458759500797597e-06
103,🌸,2.3458759500797597e-06
102,؜,2.3458759500797597e-06
114,😍,2.3458759500797597e-06
163,👈,2.3458759500797597e-06
95,°,2.3458759500797597e-06
46,u,2.3458759500797597e-06
101,😕,2.3458759500797597e-06
164,A,2.3458759500797597e-06
97,💐,2.3458759500797597e-06
49,m,2.3458759500797597e-06
152,%,2.3458759500797597e-06
151,‍,2.3458759500797597e-06
38,\,2.3458759500797597e-06
40,{,2.3458759500797597e-06
129,y,2.3458759500797597e-06
16,🌺,2.3458759500797597e-06
26,٦,2.3458759500797597e-06
61,🥴,2.3458759500797597e-06
144,M,2.3458759500797597e-06
27,🙂,2.3458759500797597e-06
7,},2.3458759500797597e-06
88,K,2.3458759500797597e-06
65,',2.3458759500797597e-06
139,g,2.3458759500797597e-06
21,🥰,2.3458759500797597e-06
11,💫,2.3458759500797597e-06
1,😭,2.3458759500797597e-06
69,🙌,2.3458759500797597e-06
76,G,2.3458759500797597e-06
131,ّ,2.3458759500797597e-06
59,😊,2.3458759500797597e-06
